user_id,topic,solved_count
S001,Array,36
S001,Binary Search,1
S001,Database,11
S001,Depth-First Search,1
S001,Dynamic Programming,2
S001,Graph,1
S001,Hash Table,8
S001,Math,7
S001,Stack,1
S001,String,5
S001,Tree,4
S001,Two Pointers,2
S001,nan,3
S002,Array,43
S002,Backtracking,1
S002,Breadth-First Search,1
S002,Database,6
S002,Depth-First Search,1
S002,Hash Table,3
S002,Linked List,1
S002,Math,9
S002,Stack,1
S002,String,5
S002,Tree,2
S002,Two Pointers,3
S002,nan,3
S003,Array,50
S003,Backtracking,1
S003,Binary Search,1
S003,Database,7
S003,Depth-First Search,1
S003,Dynamic Programming,1
S003,Hash Table,7
S003,Linked List,1
S003,Math,8
S003,String,7
S003,Tree,1
S003,Two Pointers,2
S003,nan,4
S004,Array,67
S004,Database,7
S004,Design,1
S004,Dynamic Programming,2
S004,Hash Table,7
S004,Linked List,2
S004,Math,7
S004,String,10
S004,Tree,4
S004,Two Pointers,3
S005,Array,53
S005,Bit Manipulation,1
S005,Concurrency,2
S005,Database,12
S005,Design,1
S005,Hash Table,4
S005,Math,8
S005,Shell,1
S005,Stack,1
S005,String,9
S005,Tree,1
S005,Two Pointers,5
S005,nan,2
S006,Array,54
S006,Bit Manipulation,1
S006,Database,15
S006,Hash Table,5
S006,Math,7
S006,Stack,1
S006,String,9
S006,Tree,5
S006,Two Pointers,1
S006,nan,1
S007,Array,58
S007,Database,9
S007,Design,1
S007,Dynamic Programming,1
S007,Hash Table,6
S007,Linked List,2
S007,Math,9
S007,String,12
S007,Tree,3
S007,nan,4
S008,Array,57
S008,Bit Manipulation,1
S008,Database,10
S008,Dynamic Programming,4
S008,Hash Table,6
S008,Linked List,5
S008,Math,5
S008,Stack,1
S008,String,10
S008,Tree,4
S008,Two Pointers,5
S008,nan,5
S009,Array,30
S009,Bit Manipulation,1
S009,Database,8
S009,Depth-First Search,1
S009,Hash Table,5
S009,Linked List,1
S009,Math,6
S009,String,8
S009,Tree,2
S009,Two Pointers,2
S009,nan,2
S010,Array,38
S010,Bit Manipulation,1
S010,Database,12
S010,Dynamic Programming,1
S010,Hash Table,4
S010,Math,3
S010,Stack,1
S010,String,5
S010,Tree,1
S010,Two Pointers,1
S010,nan,2
S011,Array,45
S011,Binary Search,2
S011,Database,6
S011,Dynamic Programming,2
S011,Hash Table,4
S011,Linked List,2
S011,Math,2
S011,Stack,1
S011,String,8
S011,Tree,3
S011,nan,4
S012,Array,55
S012,Binary Search,1
S012,Database,5
S012,Dynamic Programming,1
S012,Hash Table,5
S012,Linked List,1
S012,Math,9
S012,Stack,1
S012,String,10
S012,Tree,4
S012,Two Pointers,2
S012,nan,3
S013,Array,52
S013,Binary Search,1
S013,Bit Manipulation,1
S013,Database,8
S013,Depth-First Search,2
S013,Hash Table,6
S013,Linked List,1
S013,Math,9
S013,Stack,1
S013,String,9
S013,Tree,1
S013,Two Pointers,2
S013,nan,2
S014,Array,52
S014,Bit Manipulation,1
